id,birth_date,start_date,first_name,last_name,sex,ethnicity,student,home_block,home_lat,home_lon,vehicle_make,vehicle_model,vehicle_year,vehicle_color,vehicle_grand,vehicle_noir,vehicle_elite,rides,stars
220200000007,1996-12-21,2017-01-01,Adam,Abrahamson,male,White,1,270270204001008,46.868308,-96.786160,Chevrolet,Cruze,2013,gray,0,0,0,89,398
220200000043,1993-07-30,2017-01-02,Brandon,Rutherford,male,White,0,380170009043010,46.810754,-96.863928,GMC,Yukon XL,2016,black,1,1,1,239,1108
220200000053,1985-03-05,2017-01-02,Sean,Woodhouse,male,White,0,380170002022002,46.885665,-96.844987,INFINITI,EX35,2008,red,0,0,0,166,678
220200000056,1964-11-07,2017-01-03,Logan,Smith,male,White,0,380170101081021,46.876865,-96.574666,Subaru,Tribeca,2008,black,1,0,0,74,301
220200000059,1995-09-20,2017-01-03,Brooke,Label,female,White,0,380170002011012,46.923367,-96.781726,Kia,Sorento,2011,white,0,0,0,0,0
220200000060,1961-09-02,2017-01-03,C,Hilton,male,White,0,380170103061041,46.812349,-96.831400,Chevrolet,Suburban,2017,gray,1,0,0,216,955
220200000061,1967-02-02,2017-01-03,Patrick,Skelton,male,White,0,380170102032006,46.863760,-96.881442,Toyota,Highlander,2008,gray,1,0,0,106,454
220200000065,1981-01-23,2017-01-03,Zachary,Atchley,male,White,0,380170010012019,46.845603,-96.904143,Jeep,Commander,2008,blue,1,0,0,237,968
220200000067,1993-03-08,2017-01-03,Dale,Duncomb,male,White,1,380170004003009,46.869030,-96.785232,Buick,Regal,2016,yellow,0,0,0,164,642
220200000068,1993-08-31,2017-01-04,James,Williams,male,White,0,380170403001008,46.941235,-96.871467,Toyota,Camry,2011,green,0,0,0,208,882
220200000070,1973-10-15,2017-01-04,Raymond,Tarnawski,,White,0,380170009042005,46.882033,-96.703536,Chevrolet,Equinox,2013,black,0,0,0,130,575
220200000077,1990-07-28,2017-01-04,Matthew,Weber,male,White,0,270270206004013,46.876083,-96.884575,Ford,Focus,2014,gray,0,0,0,150,661
220200000082,1963-06-18,2017-01-04,Minh,Rivera,male,,0,270270202022001,46.857898,-96.243080,GMC,Yukon,2016,other,1,0,0,280,1209
220200000085,1977-12-26,2017-01-05,Eric,Sinclair,male,White,0,380170007002005,46.840562,-96.916740,Chevrolet,Tahoe Hybrid,2011,blue,1,0,0,193,827
220200000097,1983-06-17,2017-01-05,Jordan,Kearney,male,White,0,380170004001023,46.855983,-96.847533,Ford,Expedition,2013,black,1,1,1,48,212
220200000099,1988-08-19,2017-01-05,Collin,Bolton,male,White,0,380170103051023,46.884315,-96.833286,Kia,Sorento,2008,silver,0,0,0,58,223
220200000104,1983-09-04,2017-01-06,Alexander,Friedrich,male,White,0,380170006001028,46.875726,-96.788038,INFINITI,QX80,2015,black,1,1,1,158,714
220200000105,1998-12-16,2017-01-06,Douglas,White,male,White,0,380170009043008,47.237408,-97.004059,Chevrolet,Suburban,2002,silver,1,0,0,31,122
220200000106,1998-06-24,2017-01-06,Leonard,Squier,,White,1,270270204001005,46.903352,-96.809522,Volkswagen,Jetta,2006,red,0,0,0,176,708
220200000107,1968-06-03,2017-01-06,Dillon,Picard,male,White,0,380170004001007,46.663171,-96.803912,Acura,TLX,2015,black,0,1,0,158,717
220200000108,1985-03-07,2017-01-06,Keegan,Switzler,male,White,0,380170005011012,46.862490,-96.870705,Volkswagen,Routan,2010,white,1,0,0,79,316
220200000109,1969-04-12,2017-01-06,Colton,Michalski,male,White,0,380170002012009,46.880559,-96.788223,Ford,Explorer,2010,black,1,0,0,165,693
220200000115,1982-05-29,2017-01-06,Michael,Lattimer,male,Native American,0,380170101082047,46.810754,-96.863928,Kia,Sorento,2014,black,0,0,0,47,204
220200000118,1994-05-23,2017-01-06,Jacy,Kline,female,White,0,380170002022023,46.840588,-96.868087,Chevrolet,Tahoe,2015,black,1,1,1,108,500
220200000121,1963-04-20,2017-01-07,Michael,Charles,male,White,0,270270205001011,46.879279,-96.573955,Cadillac,Escalade ESV,2014,black,1,1,1,258,1151
220200000125,1993-06-22,2017-01-07,Erin,Stephen,female,White,1,380170003002004,46.905142,-96.797135,Ford,Focus,2014,green,0,0,0,205,864
220200000126,1996-11-29,2017-01-07,Kasey,Middleton,male,White,1,380170005022002,46.889958,-96.843893,Hyundai,Tucson,2016,white,0,0,0,68,289
220200000128,1955-03-23,2017-01-07,Kegan,Sondrol,male,White,0,380170002022004,46.750366,-96.923079,Chrysler,300,2016,black,0,1,0,265,1187
220200000129,1955-02-25,2017-01-07,Jake,Towner,male,,0,380170002013002,46.818460,-96.863316,Nissan,Armada,2011,white,1,0,0,61,253
220200000139,1985-08-15,2017-01-08,Shane,Bickelhaupt,male,White,0,380170005014017,46.884703,-96.786010,Toyota,Corolla,2004,silver,0,0,0,88,349
220200000140,1997-11-02,2017-01-08,Gregory,Manross,male,White,0,270270301031021,47.004318,-96.896149,Toyota,Prius,2015,white,0,0,0,126,558
220200000142,1965-07-29,2017-01-08,Jack,Kinnear,male,White,0,380170405002432,46.647806,-97.016497,Nissan,Armada,2011,other,1,0,0,95,395
220200000154,1981-09-08,2017-01-08,Jayton,Bussell,male,White,0,380170103032043,46.827963,-96.827249,Chevrolet,Tahoe,2016,black,1,1,1,0,0
220200000162,1995-09-14,2017-01-09,Aerial,Berry,female,White,0,380170002023011,46.900464,-96.780872,GMC,Terrain,2012,silver,0,0,0,47,202
220200000167,1979-11-08,2017-01-09,Dakota,Mcdonald,male,White,0,380170010013005,47.100983,-97.144133,Acura,RDX,2013,black,0,1,0,544,2399
220200000173,1990-06-25,2017-01-10,Samir,Carney,male,White,0,270270302013100,47.078111,-96.255852,Honda,Civic,2010,silver,0,0,0,0,0
220200000178,1976-10-27,2017-01-10,Rachel,Murphy,female,White,0,270270202022029,46.831437,-96.827593,Subaru,Outback,2007,red,0,0,0,95,392
220200000181,1997-12-07,2017-01-10,Brandon,Sadowski,male,White,0,270270301023035,46.845471,-96.810615,Toyota,Camry,2016,other,0,0,0,80,365
220200000182,1965-05-10,2017-01-10,Tate,Holmes,male,White,0,270270301031010,46.900860,-97.212280,Lincoln,Navigator,2015,black,1,1,1,501,2253
220200000183,1989-05-03,2017-01-11,Christopher,Shaw,male,White,0,380170102032009,46.760244,-97.242950,Lexus,LX 570,2017,white,1,0,0,181,810
220200000185,1989-07-28,2017-01-11,Nickolas,Farnsworth,male,,0,380170006003147,46.884315,-96.833286,Subaru,Tribeca,2011,black,1,0,0,38,168
220200000186,1996-10-10,2017-01-11,Shawn,Sabell,male,White,0,380170405002194,46.935285,-96.796638,Honda,Pilot,2014,blue,1,0,0,64,275
220200000187,1966-12-31,2017-01-11,Cassidy,Brogdon,female,White,0,380170103031009,46.855983,-96.847533,Mercury,Grand Marquis,2011,blue,0,0,0,83,337
220200000192,1964-03-10,2017-01-11,Zachary,Malcom,male,White,0,270270206004025,46.648320,-97.016476,Hyundai,Santa Fe,2015,blue,1,0,0,105,459
220200000194,1993-10-21,2017-01-11,Tricia,Duncan,female,White,1,380170003001019,46.876052,-96.787852,Jeep,Grand Cherokee,2012,white,0,0,0,324,1362
220200000195,1971-03-01,2017-01-11,Morgan,Bludnick,female,White,0,380170402001017,46.863761,-96.816306,Dodge,Journey,2009,white,1,0,0,118,481
220200000196,1998-11-19,2017-01-11,Tyler,Loflin,male,White,0,380170405002411,46.843463,-96.856564,Volvo,XC90,2013,black,1,0,0,241,1028
