id,birth_date,start_date,first_name,last_name,sex,ethnicity,student,home_block,home_lat,home_lon,work_lat,work_lon
220200000001,1962-03-18,2017-01-01,Natalie,Prosser,female,White,0,380170405002188,46.816399,-96.874038,46.831427,-96.827786
220200000002,1981-10-06,2017-01-01,Nicholas,Murray,male,White,0,380170405002360,46.808599,-96.856890,,
220200000003,1994-12-05,2017-01-01,Samuel,Zinanti,male,,0,380170103071039,46.821603,-96.806238,,
220200000004,1970-05-31,2017-01-01,Kelcie,Flocken,female,White,0,380170102013021,46.873851,-96.906226,46.864072,-96.878836
220200000005,1962-12-12,2017-01-01,Lucas,Devilbiss,male,White,0,380170009032023,46.857253,-96.831356,46.831710,-96.817859
220200000006,1985-10-30,2017-01-01,Skylar,Peaslee,female,White,0,380170006001028,46.886456,-96.828385,,
220200000008,1968-10-28,2017-01-01,Darren,Marble,male,White,0,380170009014011,46.849767,-96.800890,,
220200000009,1994-07-29,2017-01-01,Elizabeth,Blanch,female,White,0,270270206001017,46.857531,-96.752339,,
220200000010,1998-11-14,2017-01-01,Jacob,Savage,male,White,0,380170103032030,46.829992,-96.828994,46.780244,-96.799106
220200000011,1979-02-22,2017-01-01,Cailyn,Broughton,female,White,0,380170401001317,46.992748,-97.610736,46.900602,-97.207745
220200000012,1998-12-16,2017-01-01,Corey,Takajjart,,White,1,380170003002004,46.895864,-96.805807,,
220200000013,1998-04-29,2017-01-01,Conor,Curro,male,White,1,380170005022009,46.889479,-96.811096,,
220200000014,1998-07-08,2017-01-01,Robert,Dunnan,male,White,1,380170003002002,46.897359,-96.801023,,
220200000015,1983-07-20,2017-01-01,Garren,Utter,male,White,0,270270302014068,46.880527,-96.331276,,
220200000016,1980-10-31,2017-01-01,Phoenix,O'Herron,male,White,0,380170102033032,46.872958,-96.894764,46.853834,-96.798273
220200000017,1998-12-25,2017-01-01,Zachary,Brown,male,White,1,380170006004000,46.887537,-96.810385,,
220200000018,1990-10-24,2017-01-01,Daniel,Helling,male,White,0,380170405002159,46.827158,-96.850566,,
220200000019,1992-03-14,2017-01-01,Rylee,Watson,female,White,0,380170103031009,46.824237,-96.834789,,
220200000020,1998-08-11,2017-01-01,Scott,Griffith,male,White,1,270270204001005,46.866674,-96.755357,,
